idsensore;idstazione;nomestazione;provincia;quota;lat;lng;storico;datastop
8129;891;ISOLA S.ANTONIO SS 211;AL;84;45.03596417;8.82221989;N;
8128;872;Brembate di Sopra Ponte Briolo;BG;260;45.71022186;9.58739228;N;
9079;1203;Camerata Cornello via Orbrembo 37;BG;450;45.89852094;9.65846014;N;
9082;1235;Cene Ponte;BG;361;45.78420692;9.82153320;N;
9083;1229;Gandellino Grabiasca;BG;738;46.00767519;9.94787769;N;
106;54;Lenna Brembo di Carona;BG;485;45.94550661;9.69429044;S;2022-07-13
104;53;Piazza Brembana Ponte dei Fondi;BG;485;45.94667586;9.66723664;S;2022-05-17
8037;1978;Ranzanico Porto;BG;338;45.78568541;9.94465978;N;
8385;874;Sarnico v. Roma;BG;197;45.66594103;9.95688896;N;
22324;1914;Trescore Balneario V. Cherio;BG;251;45.69044264;9.84904342;N;
8141;877;Bovegno ponte Zigole;BS;572;45.78138436;10.26318272;N;
17556;1878;Calcinato Ponte Santa Maria;BS;125;45.45587333;10.40336666;N;
14565;1377;Capo di Ponte v.Bona;BS;366;46.03038681;10.34189741;N;
8143;879;Capriolo SP12;BS;178;45.64780650;9.91612981;N;
14759;1549;Darfo Boario Terme Cav. Vittorio Veneto;BS;205;45.87654905;10.17358369;N;
109;55;Edolo Parnigò;BS;655;46.17424525;10.31516333;S;2021-01-10
8110;826;Gavardo SP 116;BS;205;45.59235897;10.44108528;N;
8107;853;Idro SS 237;BS;388;45.73770150;10.46242047;N;
8105;852;Lavenone Galleria Agricoltori - fiume;BS;370;45.73501708;10.45060250;N;
32390;1555;Manerba del Garda Dusano;BS;73;45.54370100;10.56663509;N;
8210;910;Manerbio v.Dante;BS;60;45.35975344;10.14555158;N;
18267;1867;Pralboino SP64;BS;44;45.26835251;10.20935956;N;
8119;865;Cantù Asnago;CO;244;45.71853181;9.10037269;N;
8124;867;Caslino d'Erba v. 4 novembre;CO;427;45.83539031;9.23237261;N;
18264;1865;Cernobbio Ponte Nuovo;CO;205;45.83674293;9.06769274;N;
8382;870;Como viale Geno;CO;200;45.82025397;9.07990936;N;
8112;818;Gera Lario Fuentes;CO;199;46.15033242;9.41227503;N;
9086;1236;Porlezza Ponte Cuccio;CO;304;46.03869656;9.14099594;S;2010-12-14
11099;1200;Porlezza via Porto Letizia;CO;272;46.03628012;9.11586721;N;
18298;1869;Sorico Ponte del Passo;CO;201;46.17353887;9.40536414;N;
8158;887;Cremona SP 10;CR;40;45.12838214;9.99470858;N;
8147;882;Montodine ponte;CR;63;45.28307558;9.71119619;N;
8394;916;Pizzighettone ponte Trento e Trieste;CR;47;45.18635161;9.77927456;N;
17448;1870;Rivolta d'Adda Monfalcone;CR;105;45.49294606;9.51537988;N;
14304;1349;Rivolta d'Adda SP 4;CR;106;45.47610117;9.49827164;N;
8181;895;Soncino v. Brescia;CR;87;45.39916950;9.89027567;N;
14170;1341;Bosisio Parini Imbarcadero;LC;266;45.80353008;9.28691933;N;
8040;1979;Colico Porto;LC;202;46.13749373;9.37081691;N;
8148;883;Costa Masnaga Lambrugo;LC;248;45.76310739;9.24923839;N;
9084;1205;Molteno Cimitero;LC;278;45.78301922;9.30710044;N;
8043;1980;Oggiono Lungolago;LC;226;45.79911256;9.35446243;N;
8383;871;Olginate S.Maria Lavello;LC;198;45.78944383;9.43014467;N;
8386;880;Valmadrera Malgrate;LC;222;45.85586528;9.37463839;N;
8114;862;Lodi v. X Maggio;LO;64;45.31908319;9.50869728;N;
3092;1364;Orio Litta v.Francigena;LO;63;45.16572079;9.53209985;N;
14310;1351;Salerano sul Lambro SP115;LO;74;45.30034622;9.38073919;N;
8120;868;Lesmo Peregallo;MB;180;45.63518697;9.29910483;N;
22307;1913;Seveso c.so Isonzo;MB;208;45.64224529;9.14525888;N;
30523;1508;Lainate SP 109;MI;160;45.57409116;9.04819014;N;
3118;1425;Milano Niguarda;MI;139;45.52580195;9.19222420;N;
8125;869;Milano v.Feltre;MI;127;45.49163461;9.24873853;N;
17498;1875;Opera Ponte Matteotti;MI;98;45.37827173;9.19242615;N;
8121;866;Paderno Dugnano Palazzolo;MI;168;45.58280558;9.15897783;N;
11165;1074;Asola v. Carducci;MN;39;45.22056010;10.40760146;N;
8101;849;Borgoforte SS 12;MN;18;45.04534269;10.75581643;N;
18270;1868;Marcaria Argine Oglio;MN;27;45.11674983;10.52894192;N;
8384;873;Ponti sul Mincio Monzambano;MN;62;45.39264211;10.70629600;N;
8154;816;Sermide e Felonica SP 91;MN;10;45.01536422;11.28993625;N;
8099;815;Arena Po Spessa;PV;64;45.10170394;9.34594750;N;
10789;125;Castello d'Agogna;PV;106;45.24680044;8.70057165;N;
14301;1348;Gambolò via Roma;PV;101;45.24779339;8.86333267;N;
17578;1881;Mezzana Bigli Passerella;PV;76;45.06382594;8.87742568;N;
5080;1088;Ottobiano via Manzoni;PV;93;45.14939126;8.83089984;N;
8546;817;Pavia SS 35;PV;71;45.18062204;9.14666412;N;
22029;886;Vigevano SS494;PV;94;45.34142636;8.87967586;N;
5082;1089;Villanterio via Roma;PV;72;45.21629428;9.36159771;N;
18261;1864;Vistarino;PV;73;45.19640116;9.31593125;N;
8192;908;Voghera v. Cambiaso;PV;95;44.99028150;9.01750575;N;
6;6;Bormio Ponte sul Frodolfo;SO;1250;46.46511100;10.37275500;N;
11988;1076;Chiavenna Inferno;SO;403;46.32543978;9.37652772;N;
64;33;Lanzada Ganda;SO;988;46.27022400;9.88450500;N;
92;49;Morbegno ponte ferroviario;SO;242;46.13647800;9.56250400;S;2021-02-11
3;3;Sondalo Le Prese;SO;950;46.35017633;10.35482008;N;
16;9;Sondrio Ponte Eifell;SO;300;46.17003911;9.86629046;N;
15;8;Spriana Ponte sul Mallero;SO;645;46.21671208;9.86339675;N;
14129;1328;Teglio S. Giacomo;SO;357;46.15827664;10.03847892;N;
98;51;Tirano Madonna di Tirano;SO;438;46.21708825;10.15318792;S;2020-07-06
17548;1876;Tirano Via Poschiavino;SO;416;46.20995305;10.15013590;N;
1;1;Valdisotto Cepina;SO;1125;46.42424006;10.35509320;N;
19881;92;Valfurva Confinale;SO;2300;46.44292000;10.47018800;N;
8034;1977;Biandronno Virginia;VA;238;45.81997424;8.71572947;N;
8118;864;Castellanza C.so G. Matteotti;VA;206;45.60718181;8.90745369;N;
14624;1381;Castiglione Olona v. XXIV Maggio;VA;268;45.75870277;8.86610210;N;
9087;1206;Cavaria con Premezzo v. Cantalupa;VA;274;45.68949617;8.80769797;N;
3062;1363;Golasecca Miorina misuratore;VA;198;45.69667041;8.64892962;N;
8380;859;Luino v. Piero Chiara;VA;205;46.00414283;8.74272325;N;
14024;1079;Sesto Calende alzaia;VA;58;45.72412028;8.63749207;N;
